"Year","Area_type","Area_code","Area_description","Maori_descent_code","Maori_descent_description","Census_usually_resident_population_count","Maori_descent_indicator_percent"
2018,"Statistical Area 2","103400","Ngapuhi","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","103400","Ngapuhi","9","Not stated","0",".."
2018,"Statistical Area 2","103400","Ngapuhi","Total","Total","1797",".."
2018,"Statistical Area 2","103400","Ngapuhi","Total stated","Total stated","1797","100.0"
2018,"Statistical Area 2","103500","Kaikohe","1","Maori descent","3510"," 79.1"
2018,"Statistical Area 2","103500","Kaikohe","2","No Maori descent","810"," 18.3"
2018,"Statistical Area 2","103500","Kaikohe","4","Don't know","117","  2.6"
2018,"Statistical Area 2","103500","Kaikohe","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","103500","Kaikohe","9","Not stated","0",".."
2018,"Statistical Area 2","103500","Kaikohe","Total","Total","4437",".."
2018,"Statistical Area 2","103500","Kaikohe","Total stated","Total stated","4437","100.0"
2018,"Statistical Area 2","103600","Pakaraka","1","Maori descent","252"," 37.8"
2018,"Statistical Area 2","103600","Pakaraka","2","No Maori descent","393"," 59.0"
2018,"Statistical Area 2","103600","Pakaraka","4","Don't know","18","  2.7"
2018,"Statistical Area 2","103600","Pakaraka","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","103600","Pakaraka","9","Not stated","0",".."
2018,"Statistical Area 2","103600","Pakaraka","Total","Total","666",".."
2018,"Statistical Area 2","103600","Pakaraka","Total stated","Total stated","666","100.0"
2018,"Statistical Area 2","103700","Haruru","1","Maori descent","321"," 29.8"
2018,"Statistical Area 2","103700","Haruru","2","No Maori descent","732"," 68.0"
2018,"Statistical Area 2","103700","Haruru","4","Don't know","24","  2.2"
2018,"Statistical Area 2","103700","Haruru","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","103700","Haruru","9","Not stated","0",".."
2018,"Statistical Area 2","103700","Haruru","Total","Total","1077",".."
2018,"Statistical Area 2","103700","Haruru","Total stated","Total stated","1077","100.0"
2018,"Statistical Area 2","103800","Russell","1","Maori descent","174"," 22.8"
2018,"Statistical Area 2","103800","Russell","2","No Maori descent","576"," 75.6"
2018,"Statistical Area 2","103800","Russell","4","Don't know","15","  2.0"
2018,"Statistical Area 2","103800","Russell","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","103800","Russell","9","Not stated","0",".."
2018,"Statistical Area 2","103800","Russell","Total","Total","762",".."
2018,"Statistical Area 2","103800","Russell","Total stated","Total stated","762","100.0"
2018,"Statistical Area 2","103900","Paihia","1","Maori descent","558"," 36.9"
2018,"Statistical Area 2","103900","Paihia","2","No Maori descent","930"," 61.5"
2018,"Statistical Area 2","103900","Paihia","4","Don't know","24","  1.6"
2018,"Statistical Area 2","103900","Paihia","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","103900","Paihia","9","Not stated","0",".."
2018,"Statistical Area 2","103900","Paihia","Total","Total","1512",".."
2018,"Statistical Area 2","103900","Paihia","Total stated","Total stated","1512","100.0"
2018,"Statistical Area 2","104000","Mataraua Forest","1","Maori descent","354"," 69.8"
2018,"Statistical Area 2","104000","Mataraua Forest","2","No Maori descent","141"," 27.8"
2018,"Statistical Area 2","104000","Mataraua Forest","4","Don't know","12","  2.4"
2018,"Statistical Area 2","104000","Mataraua Forest","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","104000","Mataraua Forest","9","Not stated","0",".."
2018,"Statistical Area 2","104000","Mataraua Forest","Total","Total","507",".."
2018,"Statistical Area 2","104000","Mataraua Forest","Total stated","Total stated","507","100.0"
2018,"Statistical Area 2","104100","Matawaia-Taumarere","1","Maori descent","927"," 67.5"
2018,"Statistical Area 2","104100","Matawaia-Taumarere","2","No Maori descent","420"," 30.6"
2018,"Statistical Area 2","104100","Matawaia-Taumarere","4","Don't know","30","  2.2"
2018,"Statistical Area 2","104100","Matawaia-Taumarere","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","104100","Matawaia-Taumarere","9","Not stated","0",".."
2018,"Statistical Area 2","104100","Matawaia-Taumarere","Total","Total","1374",".."
2018,"Statistical Area 2","104100","Matawaia-Taumarere","Total stated","Total stated","1374","100.0"
2018,"Statistical Area 2","104200","Russell Peninsula","1","Maori descent","99"," 16.3"
2018,"Statistical Area 2","104200","Russell Peninsula","2","No Maori descent","486"," 80.2"
2018,"Statistical Area 2","104200","Russell Peninsula","4","Don't know","18","  3.0"
2018,"Statistical Area 2","104200","Russell Peninsula","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","104200","Russell Peninsula","9","Not stated","0",".."
2018,"Statistical Area 2","104200","Russell Peninsula","Total","Total","606",".."
2018,"Statistical Area 2","104200","Russell Peninsula","Total stated","Total stated","606","100.0"
2018,"Statistical Area 2","104300","Opua (Far North District)","1","Maori descent","213"," 18.7"
2018,"Statistical Area 2","104300","Opua (Far North District)","2","No Maori descent","891"," 78.4"
2018,"Statistical Area 2","104300","Opua (Far North District)","4","Don't know","33","  2.9"
2018,"Statistical Area 2","104300","Opua (Far North District)","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","104300","Opua (Far North District)","9","Not stated","0",".."
2018,"Statistical Area 2","104300","Opua (Far North District)","Total","Total","1137",".."
2018,"Statistical Area 2","104300","Opua (Far North District)","Total stated","Total stated","1137","100.0"
2018,"Statistical Area 2","104400","Russell Forest-Rawhiti","1","Maori descent","471"," 68.3"
2018,"Statistical Area 2","104400","Russell Forest-Rawhiti","2","No Maori descent","201"," 29.1"
2018,"Statistical Area 2","104400","Russell Forest-Rawhiti","4","Don't know","18","  2.6"
2018,"Statistical Area 2","104400","Russell Forest-Rawhiti","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","104400","Russell Forest-Rawhiti","9","Not stated","0",".."
2018,"Statistical Area 2","104400","Russell Forest-Rawhiti","Total","Total","690",".."
2018,"Statistical Area 2","104400","Russell Forest-Rawhiti","Total stated","Total stated","690","100.0"
2018,"Statistical Area 2","104500","Moerewa","1","Maori descent","1470"," 90.1"
2018,"Statistical Area 2","104500","Moerewa","2","No Maori descent","138","  8.5"
2018,"Statistical Area 2","104500","Moerewa","4","Don't know","24","  1.5"
2018,"Statistical Area 2","104500","Moerewa","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","104500","Moerewa","9","Not stated","0",".."
2018,"Statistical Area 2","104500","Moerewa","Total","Total","1632",".."
2018,"Statistical Area 2","104500","Moerewa","Total stated","Total stated","1632","100.0"
2018,"Statistical Area 2","104600","Kawakawa","1","Maori descent","1074"," 73.4"
2018,"Statistical Area 2","104600","Kawakawa","2","No Maori descent","345"," 23.6"
2018,"Statistical Area 2","104600","Kawakawa","4","Don't know","45","  3.1"
2018,"Statistical Area 2","104600","Kawakawa","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","104600","Kawakawa","9","Not stated","0",".."
2018,"Statistical Area 2","104600","Kawakawa","Total","Total","1464",".."
2018,"Statistical Area 2","104600","Kawakawa","Total stated","Total stated","1464","100.0"
2018,"Statistical Area 2","104700","Maromaku","1","Maori descent","381"," 49.2"
2018,"Statistical Area 2","104700","Maromaku","2","No Maori descent","372"," 48.1"
2018,"Statistical Area 2","104700","Maromaku","4","Don't know","24","  3.1"
2018,"Statistical Area 2","104700","Maromaku","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","104700","Maromaku","9","Not stated","0",".."
2018,"Statistical Area 2","104700","Maromaku","Total","Total","774",".."
2018,"Statistical Area 2","104700","Maromaku","Total stated","Total stated","774","100.0"
2018,"Statistical Area 2","104800","Mangakahia-Hukerenui","1","Maori descent","846"," 44.0"
2018,"Statistical Area 2","104800","Mangakahia-Hukerenui","2","No Maori descent","1005"," 52.3"
2018,"Statistical Area 2","104800","Mangakahia-Hukerenui","4","Don't know","69","  3.6"
2018,"Statistical Area 2","104800","Mangakahia-Hukerenui","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","104800","Mangakahia-Hukerenui","9","Not stated","0",".."
2018,"Statistical Area 2","104800","Mangakahia-Hukerenui","Total","Total","1923",".."
2018,"Statistical Area 2","104800","Mangakahia-Hukerenui","Total stated","Total stated","1923","100.0"
2018,"Statistical Area 2","104900","Whangaruru","1","Maori descent","1005"," 39.9"
2018,"Statistical Area 2","104900","Whangaruru","2","No Maori descent","1437"," 57.0"
2018,"Statistical Area 2","104900","Whangaruru","4","Don't know","78","  3.1"
2018,"Statistical Area 2","104900","Whangaruru","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","104900","Whangaruru","9","Not stated","0",".."
2018,"Statistical Area 2","104900","Whangaruru","Total","Total","2520",".."
2018,"Statistical Area 2","104900","Whangaruru","Total stated","Total stated","2520","100.0"
2018,"Statistical Area 2","105000","Inlets other Whangarei District","1","Maori descent","C","C"
2018,"Statistical Area 2","105000","Inlets other Whangarei District","2","No Maori descent","9","100.0"
2018,"Statistical Area 2","105000","Inlets other Whangarei District","4","Don't know","C","C"
2018,"Statistical Area 2","105000","Inlets other Whangarei District","7","Response unidentifiable","C",".."
2018,"Statistical Area 2","105000","Inlets other Whangarei District","9","Not stated","C",".."
2018,"Statistical Area 2","105000","Inlets other Whangarei District","Total","Total","9",".."
2018,"Statistical Area 2","105000","Inlets other Whangarei District","Total stated","Total stated","9","100.0"
2018,"Statistical Area 2","105100","Matarau","1","Maori descent","573"," 19.2"
2018,"Statistical Area 2","105100","Matarau","2","No Maori descent","2340"," 78.5"
2018,"Statistical Area 2","105100","Matarau","4","Don't know","69","  2.3"
2018,"Statistical Area 2","105100","Matarau","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","105100","Matarau","9","Not stated","0",".."
2018,"Statistical Area 2","105100","Matarau","Total","Total","2979",".."
2018,"Statistical Area 2","105100","Matarau","Total stated","Total stated","2979","100.0"
2018,"Statistical Area 2","105200","Hikurangi","1","Maori descent","849"," 52.5"
2018,"Statistical Area 2","105200","Hikurangi","2","No Maori descent","714"," 44.2"
2018,"Statistical Area 2","105200","Hikurangi","4","Don't know","54","  3.3"
2018,"Statistical Area 2","105200","Hikurangi","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","105200","Hikurangi","9","Not stated","0",".."
2018,"Statistical Area 2","105200","Hikurangi","Total","Total","1617",".."
2018,"Statistical Area 2","105200","Hikurangi","Total stated","Total stated","1617","100.0"
2018,"Statistical Area 2","105300","Kauri","1","Maori descent","381"," 21.8"
2018,"Statistical Area 2","105300","Kauri","2","No Maori descent","1302"," 74.6"
2018,"Statistical Area 2","105300","Kauri","4","Don't know","63","  3.6"
2018,"Statistical Area 2","105300","Kauri","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","105300","Kauri","9","Not stated","0",".."
2018,"Statistical Area 2","105300","Kauri","Total","Total","1746",".."
2018,"Statistical Area 2","105300","Kauri","Total stated","Total stated","1746","100.0"
2018,"Statistical Area 2","105400","Maungatapere","1","Maori descent","831"," 23.9"
2018,"Statistical Area 2","105400","Maungatapere","2","No Maori descent","2547"," 73.3"
2018,"Statistical Area 2","105400","Maungatapere","4","Don't know","99","  2.8"
2018,"Statistical Area 2","105400","Maungatapere","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","105400","Maungatapere","9","Not stated","0",".."
2018,"Statistical Area 2","105400","Maungatapere","Total","Total","3477",".."
2018,"Statistical Area 2","105400","Maungatapere","Total stated","Total stated","3477","100.0"
2018,"Statistical Area 2","105500","Kamo West","1","Maori descent","645"," 29.3"
2018,"Statistical Area 2","105500","Kamo West","2","No Maori descent","1467"," 66.5"
2018,"Statistical Area 2","105500","Kamo West","4","Don't know","93","  4.2"
2018,"Statistical Area 2","105500","Kamo West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","105500","Kamo West","9","Not stated","0",".."
2018,"Statistical Area 2","105500","Kamo West","Total","Total","2205",".."
2018,"Statistical Area 2","105500","Kamo West","Total stated","Total stated","2205","100.0"
2018,"Statistical Area 2","105600","Matapouri-Tutukaka","1","Maori descent","333"," 19.7"
2018,"Statistical Area 2","105600","Matapouri-Tutukaka","2","No Maori descent","1311"," 77.5"
2018,"Statistical Area 2","105600","Matapouri-Tutukaka","4","Don't know","42","  2.5"
2018,"Statistical Area 2","105600","Matapouri-Tutukaka","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","105600","Matapouri-Tutukaka","9","Not stated","0",".."
2018,"Statistical Area 2","105600","Matapouri-Tutukaka","Total","Total","1692",".."
2018,"Statistical Area 2","105600","Matapouri-Tutukaka","Total stated","Total stated","1692","100.0"
2018,"Statistical Area 2","105700","Kiripaka","1","Maori descent","273"," 27.5"
2018,"Statistical Area 2","105700","Kiripaka","2","No Maori descent","675"," 68.0"
2018,"Statistical Area 2","105700","Kiripaka","4","Don't know","45","  4.5"
2018,"Statistical Area 2","105700","Kiripaka","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","105700","Kiripaka","9","Not stated","0",".."
2018,"Statistical Area 2","105700","Kiripaka","Total","Total","993",".."
2018,"Statistical Area 2","105700","Kiripaka","Total stated","Total stated","993","100.0"
2018,"Statistical Area 2","105800","Kamo East","1","Maori descent","1323"," 46.1"
2018,"Statistical Area 2","105800","Kamo East","2","No Maori descent","1422"," 49.5"
2018,"Statistical Area 2","105800","Kamo East","4","Don't know","126","  4.4"
2018,"Statistical Area 2","105800","Kamo East","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","105800","Kamo East","9","Not stated","0",".."
2018,"Statistical Area 2","105800","Kamo East","Total","Total","2871",".."
2018,"Statistical Area 2","105800","Kamo East","Total stated","Total stated","2871","100.0"
